Customer Name,Region,Sum of Sales,Sum of Profit,Segment
Aaron Bergman,Central,576.564,114.3432,Consumer
Aaron Bergman,West,309.592,15.0033,Consumer
Aaron Hawkins,East,330.126,147.293,Corporate
Aaron Hawkins,South,86.45,38.038,Corporate
Aaron Hawkins,West,1328.124,179.8842,Corporate
Aaron Smayling,Central,1476.27,-251.2959,Corporate
Aaron Smayling,East,65.78,32.2322,Corporate
Aaron Smayling,South,771.614,-53.6656,Corporate
Aaron Smayling,West,737.028,19.1547,Corporate
Adam Bellavance,Central,240.15,115.5072,Home Office
Adam Bellavance,East,4487.352,1468.7919,Home Office
Adam Bellavance,South,334.2,106.5112,Home Office
Adam Bellavance,West,2693.918,363.7782,Home Office
Adam Hart,Central,217.44,11.934,Corporate
Adam Hart,East,2214.047,191.5114,Corporate
Adam Hart,South,355.08,-21.5316,Corporate
Adam Hart,West,463.77,99.2752,Corporate
Adam Shillingsburg,Central,1252.316,274.4242,Consumer
Adam Shillingsburg,East,1954.374,-223.914,Consumer
Adam Shillingsburg,South,34.65,10.395,Consumer
Adam Shillingsburg,West,13.97,3.6322,Consumer
Adrian Barton,Central,12181.594,5362.6135,Consumer
Adrian Barton,East,117.96,5.898,Consumer
Adrian Barton,South,843.84,224.4492,Consumer
Adrian Barton,West,1330.177,-148.1552,Consumer
Adrian Hane,Central,224.56,51.2898,Home Office
Adrian Hane,South,201.09,58.1931,Home Office
Adrian Hane,West,1309.864,-111.7975,Home Office
Adrian Shami,East,54.64,20.3448,Home Office
Adrian Shami,West,4.18,1.5048,Home Office
Aimee Bixby,Central,169.188,12.9268,Consumer
Aimee Bixby,East,797.522,300.7329,Consumer
Alan Barnes,Central,37.296,-1.0656,Consumer
Alan Barnes,East,118.32,28.923,Consumer
Alan Barnes,South,163.96,59.4355,Consumer
Alan Barnes,West,794.262,133.5201,Consumer
Alan Dominguez,Central,600.558,-8.5794,Home Office
Alan Dominguez,East,1152.982,342.6169,Home Office
Alan Dominguez,West,4353.34,1535.8919,Home Office
Alan Haines,Central,16.03,-25.648,Corporate
Alan Haines,East,161.356,-3.5324,Corporate
Alan Haines,South,1410.066,-349.3705,Corporate
Alan Hwang,Central,195.96,19.596,Consumer
Alan Hwang,East,801.988,233.9924,Consumer
Alan Hwang,South,1942.996,867.5466,Consumer
Alan Hwang,West,1864.4,187.4196,Consumer
Alan Schoenberger,East,26.8,12.864,Corporate
Alan Schoenberger,South,2216.8,444.6902,Corporate
Alan Schoenberger,West,2017.184,262.2209,Corporate
Alan Shonely,East,139.816,-22.0982,Consumer
Alan Shonely,South,376.342,35.0436,Consumer
Alan Shonely,West,68.45,20.7704,Consumer
Alejandro Ballentine,Central,13.616,3.5742,Home Office
Alejandro Ballentine,East,121.582,36.0953,Home Office
Alejandro Ballentine,South,34.34,14.3178,Home Office
Alejandro Ballentine,West,744.994,210.5802,Home Office
Alejandro Grove,Central,2374.73,696.2947,Consumer
Alejandro Grove,East,152.668,26.4552,Consumer
Alejandro Grove,West,55.5,9.99,Consumer
Alejandro Savely,Central,2879.872,292.1224,Corporate
Alejandro Savely,East,23.988,-15.992,Corporate
Alejandro Savely,West,310.376,78.4972,Corporate
Aleksandra Gannaway,East,81.94,20.485,Corporate
Aleksandra Gannaway,West,285.608,38.8034,Corporate
Alex Avila,Central,4780.552,-650.5971,Consumer
Alex Avila,East,29.5,13.2826,Consumer
Alex Avila,West,753.508,274.432,Consumer
Alex Grayson,Central,356.95,87.5615,Consumer
Alex Grayson,South,12.672,1.4256,Consumer
Alex Grayson,West,291.35,-94.1242,Consumer
Alex Russell,Central,265.086,17.6652,Corporate
Alex Russell,East,790.608,-238.7196,Corporate
Alice McCarthy,Central,72.6,17.6574,Corporate
Alice McCarthy,East,129.832,-59.909,Corporate
Alice McCarthy,West,611.58,237.2394,Corporate
Allen Armold,Central,178.37,62.0658,Consumer
Allen Armold,East,206.732,68.9195,Consumer
Allen Armold,South,598.48,127.6256,Consumer
Allen Armold,West,72.808,18.7715,Consumer
Allen Goldenen,East,47.151,-0.3498,Consumer
Allen Goldenen,South,134.034,61.329,Consumer
Allen Goldenen,West,19.76,8.2992,Consumer
Allen Rosenblatt,Central,41.28,19.8144,Corporate
Allen Rosenblatt,East,1689.364,-241.3974,Corporate
Allen Rosenblatt,South,239.7,105.468,Corporate
Allen Rosenblatt,West,265.784,17.3504,Corporate
Alyssa Crouse,Central,162.16,-69.062,Corporate
Alyssa Crouse,East,57.576,21.591,Corporate
Alyssa Crouse,West,706.064,-14.6632,Corporate
Alyssa Tate,East,16.862,-1.7024,Home Office
Alyssa Tate,South,3.444,-2.5256,Home Office
Alyssa Tate,West,1151.508,105.1048,Home Office
Amy Cox,Central,1793.98,843.1706,Consumer
Amy Cox,East,70.212,25.7148,Consumer
Amy Cox,South,1701.358,32.3741,Consumer
Amy Cox,West,1962.296,464.7503,Consumer
Amy Hunt,Central,1757.8536,-352.0866,Consumer
Amy Hunt,East,562.55,140.8633,Consumer
Amy Hunt,South,103.9,16.8804,Consumer
Amy Hunt,West,71.088,-1.7772,Consumer
Andrew Allen,Central,1747.5,420.4986,Consumer
Andrew Allen,East,27.46,9.8856,Consumer
Andrew Allen,South,15.552,5.4432,Consumer
Andrew Gjertsen,Central,915.459,103.5202,Corporate
Andrew Gjertsen,East,114.376,24.6492,Corporate
Andrew Gjertsen,South,1129.828,165.7093,Corporate
Andrew Gjertsen,West,197.192,1.7881,Corporate
Andrew Roberts,Central,10.8,5.184,Consumer
Andrew Roberts,East,195.744,10.4919,Consumer
Andrew Roberts,West,58.32,27.9936,Consumer
Andy Gerbode,Central,559.71,-121.2705,Corporate
Andy Gerbode,East,654.772,-80.6772,Corporate
Andy Gerbode,South,240.556,49.1864,Corporate
Andy Reiter,Central,5802.7,2602.0939,Consumer
Andy Reiter,East,85.78,32.7341,Consumer
Andy Reiter,West,719.968,249.7928,Consumer
Andy Yotov,East,8.016,1.1022,Corporate
Andy Yotov,West,488.998,102.2477,Corporate
Anemone Ratner,South,88.15,32.633,Consumer
Angele Hood,Central,15.984,4.995,Consumer
Angele Hood,South,239.24,23.924,Consumer
Angele Hood,West,483.28,55.044,Consumer
Ann Blume,Central,14.48,-23.892,Corporate
Ann Blume,South,17.088,1.068,Corporate
Ann Blume,West,1484.294,-252.1364,Corporate
Ann Chong,Central,12.768,0.9576,Corporate
Ann Chong,East,2444.558,272.3477,Corporate
Ann Chong,West,80.36,25.522,Corporate
Ann Steele,Central,372.446,56.8968,Home Office
Ann Steele,East,5.68,1.917,Home Office
Ann Steele,South,49.976,18.4521,Home Office
Ann Steele,West,405.296,59.226,Home Office
Anna Andreadi,Central,1971.46,439.3138,Consumer
Anna Andreadi,East,1434.33,77.6417,Consumer
Anna Andreadi,South,291.74,79.0364,Consumer
Anna Andreadi,West,1389.405,261.8114,Consumer
Anna Chung,Central,179.608,-16.1928,Consumer
Anna Chung,East,191.34,-4.9704,Consumer
Anna Chung,West,286.368,-7.5372,Consumer
Anna Gayman,Central,2894.3596,-369.7284,Consumer
Anna Gayman,South,594.68,123.3027,Consumer
Anna Häberlin,Central,1135.394,150.903,Corporate
Anna Häberlin,East,70.88,33.3136,Corporate
Anna Häberlin,South,5369.676,1095.3473,Corporate
Anna Häberlin,West,1312.344,18.4527,Corporate
Anne McFarland,Central,383.84,47.98,Consumer
Anne McFarland,East,2116.506,472.0844,Consumer
Anne McFarland,South,2229.212,392.7904,Consumer
Anne McFarland,West,934.464,172.8778,Consumer
Anne Pryor,Central,27.168,-1.3584,Home Office
Anne Pryor,East,513.784,68.2718,Home Office
Anne Pryor,South,79.3,-8.9614,Home Office
Anne Pryor,West,1018.302,227.8368,Home Office
Annie Thurman,Central,399.904,25.193,Consumer
Annie Thurman,East,3126.156,852.2062,Consumer
Annie Thurman,South,147.344,49.7286,Consumer
Annie Thurman,West,158.46,46.9792,Consumer
Annie Zypern,Central,146.72,22.848,Consumer
Annie Zypern,East,403.416,75.0965,Consumer
Annie Zypern,West,1071.882,57.0058,Consumer
Anthony Garverick,Central,51.592,-60.8566,Home Office
Anthony Garverick,East,5.892,-4.1244,Home Office
Anthony Garverick,South,113.1,56.55,Home Office
Anthony Jacobs,East,4486.444,16.8685,Corporate
Anthony Jacobs,South,62.264,16.9543,Corporate
Anthony Jacobs,West,318.636,116.8902,Corporate
Anthony Johnson,East,4.992,1.6848,Corporate
Anthony Johnson,South,1725.844,384.469,Corporate
Anthony Johnson,West,2770.555,772.5526,Corporate
Anthony O'Donnell,West,161.28,12.096,Corporate
Anthony Rawles,Central,347.802,-24.843,Corporate
Anthony Rawles,East,765.076,-9.241,Corporate
Anthony Rawles,West,3410.458,528.9192,Corporate
Anthony Witt,Central,30.264,-13.8837,Consumer
Anthony Witt,East,321.248,26.9448,Consumer
Anthony Witt,West,297.864,52.7114,Consumer
Arianne Irving,East,70.366,-5.8916,Consumer
Arianne Irving,South,504.9,80.784,Consumer
Arianne Irving,West,3800.52,792.8347,Consumer
Art Ferguson,Central,345.656,-98.2841,Consumer
Art Ferguson,East,1562.086,356.8186,Consumer
Art Ferguson,South,47.328,14.872,Consumer
Art Ferguson,West,97.838,44.5647,Consumer
Art Foster,East,489.905,-264.3029,Consumer
Art Foster,South,371.66,101.1854,Consumer
Arthur Gainer,Central,1372.166,94.3674,Consumer
Arthur Gainer,East,259.942,45.6003,Consumer
Arthur Gainer,South,496.51,33.7185,Consumer
Arthur Gainer,West,2382.179,169.9962,Consumer
Arthur Prichep,South,952.908,199.9944,Consumer
Arthur Prichep,West,2370.648,379.3169,Consumer
Arthur Wiediger,Central,1748.02,-250.2484,Home Office
Arthur Wiediger,East,4.928,1.7248,Home Office
Arthur Wiediger,West,1100.02,143.975,Home Office
Ashley Jarboe,Central,1715.16,489.9664,Consumer
Ashley Jarboe,South,19.456,3.4048,Consumer
Ashley Jarboe,West,104.624,27.764,Consumer
Astrea Jones,East,618.608,57.6601,Consumer
Astrea Jones,West,10.64,2.7664,Consumer
Barbara Fisher,Central,328.54,157.3777,Corporate
Barbara Fisher,East,49.724,14.3503,Corporate
Barbara Fisher,South,221.534,55.7104,Corporate
